dpi.diss,inf.strain,Mouse ID,Mouse number ,Date of Birth ,Day 1_ g ,Day2_ g ,Day3_ g ,Day4_ g ,Day5_ g ,Day6_ g ,Day7_ g,Day8_ g,Day9_ g,Day10_ g,Day11_ g
7dip,Eflab,LM0075,31,,40,39,39,40,40,39,NA,NA,NA,NA,NA
7dip,Efwild,LM0094,32,,33.7,32,32,32.3,33,32.9,NA,NA,NA,NA,NA
7dip,EI70,LM0074,33,,34.2,34.2,32.9,33.9,34.3,36.2,NA,NA,NA,NA,NA
7dip,EI64,LM0029,34,,39.9,39.2,38,35,34.5,36.8,NA,NA,NA,NA,NA
7dip,Uninf,LM0085,35,,37.4,36.2,35.2,33.4,36.8,36.2,NA,NA,NA,NA,NA
7dip,Eflab,LM0079,36,,34.7,34.6,34.5,36.6,36.1,34,NA,NA,NA,NA,NA
7dip,Efwild,LM0024,37,,40.9,41.2,40.9,40.6,40.7,35,NA,NA,NA,NA,NA
7dip,EI70,LM0037,38,,34.9,35,35.1,35.5,36.4,34,NA,NA,NA,NA,NA
7dip,EI64,LM0084,39,,35.8,33.2,32.7,32.9,32.1,40.1,NA,NA,NA,NA,NA
7dip,Uninf,LM0042,40,,40,40.6,36.6,37.5,35.8,34,NA,NA,NA,NA,NA
7dip,Eflab,LM0059,41,,38.8,37.7,37.3,37.4,38,33.4,NA,NA,NA,NA,NA
7dip,Efwild,LM0046,42,,40.2,40.3,38.4,38.5,39.7,37.6,NA,NA,NA,NA,NA
7dip,EI70,LM0062,43,,36.4,35,34.4,34.8,35.3,34.9,NA,NA,NA,NA,NA
7dip,EI64,LM0043,44,,40.1,39.3,38,36.3,37.6,35.7,NA,NA,NA,NA,NA
7dip,Uninf,LM0065,45,,41.3,41.2,40,40,40.5,39,NA,NA,NA,NA,NA
9dpi,Eflab,LM0033,46,,48,47.8,46.7,46.7,45,45,45.6,42.6,39.4,NA,NA
9dpi,Efwild,LM0045,47,,40,39.9,37.4,37.8,38.2,38,38.4,35.8,32.3,NA,NA
9dpi,EI70,LM0036,48,,45.4,45.3,44,44.8,45.3,45.2,44.6,42,38,NA,NA
9dpi,EI64,LM0056,49,,41.5,41,34.3,34.8,39,41,40.2,42.2,48.8,NA,NA
9dpi,Uninf,LM0091,50,,35.5,35.3,34.8,37,36,36,36.5,36.5,37,NA,NA
9dpi,Eflab,LM0073,51,,30.8,30.6,30.6,30.6,30.9,30.4,29.1,26.8,23.5,NA,NA
9dpi,Efwild,LM0028,52,,35.6,35,35.8,35.8,35,35,35,32.2,32.3,NA,NA
9dpi,EI70,LM0038,53,,36.6,37,35.5,35.8,31.3,32.5,35.8,34.5,32.8,NA,NA
9dpi,EI64,LM0035,54,,35.7,35.6,35.7,32.1,34.2,33,33.6,33.3,33.8,NA,NA
9dpi,Uninf,LM0023,55,,31.8,32,33.3,33,34,34,33.9,33.5,34.6,NA,NA
9dpi,Eflab,LM0080,56,,39.1,38.8,38.3,38.8,39.1,37.6,36.4,32.4,30,NA,NA
9dpi,Efwild,LM0030,57,,36.8,36.8,36.1,36.4,35.9,35.9,36.2,34,31.9,NA,NA
9dpi,EI70,LM0060,58,,39.5,38.5,37.5,38,38.2,37.8,37.3,35.7,32.5,NA,NA
9dpi,EI64,LM0066,59,,33.6,32.5,32.3,31.6,30.9,32.4,33,33.7,32.8,NA,NA
9dpi,Uninf,LM0089,60,,40,40,35.1,36,35,34,35,36,36.3,NA,NA
11dpi,Eflab,LM0021,61,,36,35,34.5,35.2,34.8,35.4,32,27.7,25,33.5,33.5
11dpi,Efwild,LM0048,62,,35.4,35.6,35.4,35.8,35.3,35.4,34.7,30.2,25,24.5,23.5
11dpi,EI70,LM0034,63,,32.7,31.6,31.6,30.2,30.6,30.5,29,26.8,24.3,25.1,27.2
11dpi,EI64,LM0072,64,,33.4,31.6,35.4,30,28,30.5,31.6,32.6,33.8,34.3,34.4
11dpi,Uninf,LM0032,65,,34,34.6,35,34,34,34,34,34,34,34,34.5
11dpi,Eflab,LM0025,66,,42,41.9,40.5,41,41,40,39.4,35.5,32.3,31.8,33
11dpi,Efwild,LM0027,67,,27.6,27.4,28.3,27,28.4,28.4,27.4,24.7,22.8,21.1,24.7
11dpi,EI70,LM0087,68,,33.8,34.1,32.5,32.2,32.5,32.5,32,31.3,30.5,32.2,32.3
11dpi,EI64,LM0078,69,,34.6,35.2,34.3,34,32.6,34.4,34.1,34.9,35,35,34.9
11dpi,Uninf,LM0049,70,,34,33,33.8,34,34,34.6,34,34,33.4,34,34
11dpi,Eflab,LM0031,71,,32.7,32.8,36.5,32.1,32.9,32.6,31.4,28,25,23.2,23.1
11dpi,Efwild,LM0054,72,,31,31.2,30.9,30.4,30.8,30.7,30,28,25.4,NA,NA
11dpi,EI70,LM0058,73,,31.6,31.8,31.9,32.8,32.5,32,32.1,26.6,32.3,31.1,31.1
11dpi,EI64,LM0071,74,,32,32,30,27,24,28,30.8,31.7,32.5,32.5,33.1
11dpi,Uninf,LM0053,75,,30.8,31,32,32,32,33,33,34,34,34.2,34.5
