Pos,Name,Ct SYBR,Amount SYBR,Target SYBR
A1,LM_0232,28.23,-,CXCR3
A2,LM_0232,28.61,-,CXCR3
B1,LM_0255,30.66,-,CXCR3
B2,LM_0255,30.69,-,CXCR3
C1,LM_0247,29.24,-,CXCR3
C2,LM_0247,29.86,-,CXCR3
D1,LM_0257,29.82,-,CXCR3
D2,LM_0257,29.76,-,CXCR3
E1,LM_0268,38.66,-,CXCR3
E2,LM_0268,,-,CXCR3
F1,LM_0260,29.79,-,CXCR3
F2,LM_0260,30.3,-,CXCR3
G1,LM_0280,27.43,-,CXCR3
G2,LM_0280,27.85,-,CXCR3
H1,LM_0262,29.28,-,CXCR3
H2,LM_0262,29.92,-,CXCR3
A3,LM_0232,20.74,-,IRG6
A4,LM_0232,21.02,-,IRG6
B3,LM_0255,23.08,-,IRG6
B4,LM_0255,23.01,-,IRG6
C3,LM_0247,22.29,-,IRG6
C4,LM_0247,22.44,-,IRG6
D3,LM_0257,22.46,-,IRG6
D4,LM_0257,22.03,-,IRG6
E3,LM_0268,29.97,-,IRG6
E4,LM_0268,31.21,-,IRG6
F3,LM_0260,22.39,-,IRG6
F4,LM_0260,22.29,-,IRG6
G3,LM_0280,20.85,-,IRG6
G4,LM_0280,20.57,-,IRG6
H3,LM_0262,22.28,-,IRG6
H4,LM_0262,22.31,-,IRG6
A5,LM_0232,23.26,-,IL-12
A6,LM_0232,23.35,-,IL-12
B5,LM_0255,26.34,-,IL-12
B6,LM_0255,26.25,-,IL-12
C5,LM_0247,24.59,-,IL-12
C6,LM_0247,24.4,-,IL-12
D5,LM_0257,24.23,-,IL-12
D6,LM_0257,24.13,-,IL-12
E5,LM_0268,34.55,-,IL-12
E6,LM_0268,34.86,-,IL-12
F5,LM_0260,24.67,-,IL-12
F6,LM_0260,24.8,-,IL-12
G5,LM_0280,22.58,-,IL-12
G6,LM_0280,22.71,-,IL-12
H5,LM_0262,24.45,-,IL-12
H6,LM_0262,24.54,-,IL-12
A7,LM_0232,16.01,-,GAPDH
A8,LM_0232,16.09,-,GAPDH
B7,LM_0255,17.76,-,GAPDH
B8,LM_0255,18.07,-,GAPDH
C7,LM_0247,17.46,-,GAPDH
C8,LM_0247,17.65,-,GAPDH
D7,LM_0257,17.12,-,GAPDH
D8,LM_0257,17.51,-,GAPDH
E7,LM_0268,21.85,-,GAPDH
E8,LM_0268,21.58,-,GAPDH
F7,LM_0260,17.42,-,GAPDH
F8,LM_0260,17.37,-,GAPDH
G7,LM_0280,16.24,-,GAPDH
G8,LM_0280,16.03,-,GAPDH
H7,LM_0262,15.97,-,GAPDH
H8,LM_0262,16.27,-,GAPDH
A9,LM_0232,19.74,-,B-actin
A10,LM_0232,19.64,-,B-actin
B9,LM_0255,21.72,-,B-actin
B10,LM_0255,21.65,-,B-actin
C9,LM_0247,19.32,-,B-actin
C10,LM_0247,19.22,-,B-actin
D9,LM_0257,20.36,-,B-actin
D10,LM_0257,20.19,-,B-actin
E9,LM_0268,22.65,-,B-actin
E10,LM_0268,22.82,-,B-actin
F9,LM_0260,19.52,-,B-actin
F10,LM_0260,19.41,-,B-actin
G9,LM_0280,18.85,-,B-actin
G10,LM_0280,18.7,-,B-actin
H9,LM_0262,17.36,-,B-actin
H10,LM_0262,17.57,-,B-actin
