Pos,Name,Ct SYBR,Ct Mean SYBR,Ct Dev. SYBR,Amount SYBR,Target SYBR
A1,LM_0336,26.86,27.18,0.46,-,CXCR3
A2,LM_0336,27.5,27.18,0.46,-,CXCR3
B1,LM_0336,25.27,25.55,0.4,-,CXCR3
B2,LM_0336,25.84,25.55,0.4,-,CXCR3
C1,LM_0337,24.09,24.15,0.09,-,CXCR3
C2,LM_0337,24.21,24.15,0.09,-,CXCR3
D1,LM_0337,23.95,23.88,0.09,-,CXCR3
D2,LM_0337,23.82,23.88,0.09,-,CXCR3
E1,LM_0338,23.16,23.38,0.31,-,CXCR3
E2,LM_0338,23.59,23.38,0.31,-,CXCR3
F1,LM_0338,23.67,23.44,0.32,-,CXCR3
F2,LM_0338,23.21,23.44,0.32,-,CXCR3
G1,LM_0339,24.72,24.65,0.1,-,CXCR3
G2,LM_0339,24.58,24.65,0.1,-,CXCR3
H1,LM_0339,24.78,24.72,0.1,-,CXCR3
H2,LM_0339,24.65,24.72,0.1,-,CXCR3
A3,LM_0336,,,,-,IRG6
A4,LM_0336,,,,-,IRG6
B3,LM_0336,23.49,26.76,4.62,-,IRG6
B4,LM_0336,30.03,26.76,4.62,-,IRG6
C3,LM_0337,21.4,21.12,0.39,-,IRG6
C4,LM_0337,20.85,21.12,0.39,-,IRG6
D3,LM_0337,20.86,20.47,0.54,-,IRG6
D4,LM_0337,20.09,20.47,0.54,-,IRG6
E3,LM_0338,20.32,19.86,0.65,-,IRG6
E4,LM_0338,19.4,19.86,0.65,-,IRG6
F3,LM_0338,20.2,19.87,0.48,-,IRG6
F4,LM_0338,19.53,19.87,0.48,-,IRG6
G3,LM_0339,21.88,21.51,0.52,-,IRG6
G4,LM_0339,21.15,21.51,0.52,-,IRG6
H3,LM_0339,21.88,21.5,0.55,-,IRG6
H4,LM_0339,21.11,21.5,0.55,-,IRG6
A5,LM_0336,,,,-,IL-12
A6,LM_0336,25.47,,,-,IL-12
B5,LM_0336,25.57,24.97,0.85,-,IL-12
B6,LM_0336,24.37,24.97,0.85,-,IL-12
C5,LM_0337,22.66,22.47,0.27,-,IL-12
C6,LM_0337,22.29,22.47,0.27,-,IL-12
D5,LM_0337,21.87,21.95,0.11,-,IL-12
D6,LM_0337,22.03,21.95,0.11,-,IL-12
E5,LM_0338,21.45,21.33,0.18,-,IL-12
E6,LM_0338,21.2,21.33,0.18,-,IL-12
F5,LM_0338,20.93,21.17,0.33,-,IL-12
F6,LM_0338,21.4,21.17,0.33,-,IL-12
G5,LM_0339,22.57,22.69,0.17,-,IL-12
G6,LM_0339,22.81,22.69,0.17,-,IL-12
H5,LM_0339,22.16,22.66,0.71,-,IL-12
H6,LM_0339,23.17,22.66,0.71,-,IL-12
A7,LM_0336,17.66,20.44,3.93,-,GAPDH
A8,LM_0336,23.22,20.44,3.93,-,GAPDH
B7,LM_0336,18.18,18.52,0.49,-,GAPDH
B8,LM_0336,18.87,18.52,0.49,-,GAPDH
C7,LM_0337,16.49,17.33,1.19,-,GAPDH
C8,LM_0337,18.18,17.33,1.19,-,GAPDH
D7,LM_0337,16.15,16.7,0.77,-,GAPDH
D8,LM_0337,17.24,16.7,0.77,-,GAPDH
E7,LM_0338,15.29,15.96,0.94,-,GAPDH
E8,LM_0338,16.62,15.96,0.94,-,GAPDH
F7,LM_0338,15.36,15.84,0.67,-,GAPDH
F8,LM_0338,16.31,15.84,0.67,-,GAPDH
G7,LM_0339,16.95,17.3,0.49,-,GAPDH
G8,LM_0339,17.65,17.3,0.49,-,GAPDH
H7,LM_0339,17.23,19.5,3.21,-,GAPDH
H8,LM_0339,21.76,19.5,3.21,-,GAPDH
A9,LM_0336,23.92,23.81,0.16,-,B-actin
A10,LM_0336,23.7,23.81,0.16,-,B-actin
B9,LM_0336,22.62,22.85,0.32,-,B-actin
B10,LM_0336,23.07,22.85,0.32,-,B-actin
C9,LM_0337,22.58,22.21,0.52,-,B-actin
C10,LM_0337,21.85,22.21,0.52,-,B-actin
D9,LM_0337,21.65,21.87,0.31,-,B-actin
D10,LM_0337,22.08,21.87,0.31,-,B-actin
E9,LM_0338,21.2,21.42,0.32,-,B-actin
E10,LM_0338,21.65,21.42,0.32,-,B-actin
F9,LM_0338,21.61,21.49,0.17,-,B-actin
F10,LM_0338,21.37,21.49,0.17,-,B-actin
G9,LM_0339,22.31,22.35,0.06,-,B-actin
G10,LM_0339,22.4,22.35,0.06,-,B-actin
H9,LM_0339,22.46,22.49,0.04,-,B-actin
H10,LM_0339,22.52,22.49,0.04,-,B-actin
